,price,address,proptype,region,city,bedrooms,bathrooms,sqft
162,728000,307-2083 W 33rd Avenue,Apt/Condo,Quilchena,Vancouver,2,1,750
163,1679900,303-3636 W 39th Avenue,Apt/Condo,Southlands,Vancouver,2,3,1013
164,699000,2210-1480 Howe Street,Apt/Condo,Yaletown,Vancouver,1,1,482
165,849000,305-1006 Beach Avenue,Apt/Condo,Yaletown,Vancouver,2,2,981
166,2368000,403-1205 W Hastings Street,Apt/Condo,Coal Harbour,Vancouver,2,2,1350
167,589000,1810-1060 Alberni Street,Apt/Condo,West End,Vancouver,1,1,603
168,3699000,1501-620 Cardero Street,Apt/Condo,Coal Harbour,Vancouver,3,3,1545
169,1359000,504-1949 Beach Avenue,Apt/Condo,West End,Vancouver,2,2,1279
170,999000,809-1500 Howe Street,Apt/Condo,Yaletown,Vancouver,2,2,968
171,838000,108-7680 Columbia Street,Apt/Condo,Marpole,Vancouver,2,2,1183
172,625000,704-989 Nelson Street,Apt/Condo,Downtown West,Vancouver,2,1,631
173,885000,403-1436 Harwood Street,Apt/Condo,West End,Vancouver,2,2,978
174,918000,1504-620 Cardero Street,Apt/Condo,Coal Harbour,Vancouver,1,1,621
175,5498000,4802-1128 W Georgia Street,Apt/Condo,West End,Vancouver,2,3,2681
176,969000,307-1477 W Pender Street,Apt/Condo,Coal Harbour,Vancouver,1,1,817
177,1465000,503-1499 W Pender Street,Apt/Condo,Coal Harbour,Vancouver,2,3,1165
178,1228000,1002-1000 Beach Avenue,Apt/Condo,Yaletown,Vancouver,2,2,1158
179,610000,1505-1255 Seymour Street,Apt/Condo,Downtown West,Vancouver,1,1,513
180,899900,705-2445 W 3rd Avenue,Apt/Condo,Kitsilano,Vancouver,1,1,897
181,659000,5178 Chambers Street,Apt/Condo,Collingwood,Vancouver,2,2,857
182,2988000,2418-89 Nelson Street,Apt/Condo,Yaletown,Vancouver,3,3,1371
183,1198000,1601-289 Drake Street,Apt/Condo,Yaletown,Vancouver,2,2,1207
184,778000,403-1690 W 8th Avenue,Apt/Condo,Fairview,Vancouver,1,1,678
185,1448000,1401-1205 Howe Street,Apt/Condo,Downtown West,Vancouver,2,2,1248
186,875000,105-5383 Cambie Street,Apt/Condo,Cambie,Vancouver,1,1,701
187,799000,207-4101 Yew Street,Apt/Condo,Quilchena,Vancouver,2,1,1000
188,584900,311-221 Union Street,Apt/Condo,Strathcona,Vancouver,1,1,678
189,495000,909-1367 Alberni Street,Apt/Condo,West End,Vancouver,0,1,396
190,1680000,804-1616 Bayshore Drive,Apt/Condo,Coal Harbour,Vancouver,2,2,1254
191,1499900,601-5089 Quebec Street,Apt/Condo,Main,Vancouver,2,2,1190
192,999999,1806-128 W Cordova Street,Apt/Condo,Downtown West,Vancouver,2,2,1143
193,848800,1101-1633 W 8th Avenue,Apt/Condo,Fairview,Vancouver,2,2,855
194,990000,707-3355 Binning Road,Apt/Condo,University (Ubc),Vancouver,2,2,912
195,1399000,107-5638 Birney Avenue,Apt/Condo,University (Ubc),Vancouver,3,2,1070
196,2688000,1203-5838 Berton Avenue,Apt/Condo,University (Ubc),Vancouver,3,3,1906
197,598800,526-4078 Knight Street,Apt/Condo,Knight,Vancouver,1,1,718
198,969000,307-1477 W Pender Street,Apt/Condo,Coal Harbour,Vancouver,1,1,817
199,589900,405-2688 Vine Street,Apt/Condo,Kitsilano,Vancouver,1,1,558
200,599900,407-928 Homer Street,Apt/Condo,Yaletown,Vancouver,1,1,498
201,1328000,401-138 W 6th Avenue,Apt/Condo,Mount Pleasant West,Vancouver,2,2,1252
202,889900,201-1000 Beach Avenue,Apt/Condo,Yaletown,Vancouver,1,2,1092
203,725000,508-2101 Mcmullen Avenue,Apt/Condo,Quilchena,Vancouver,1,1,997
204,419900,606-150 E Cordova Street,Apt/Condo,Downtown East,Vancouver,1,1,520
205,819000,202-5058 Joyce Street,Apt/Condo,Collingwood,Vancouver,2,2,925
206,670000,505-788 Hamilton Street,Apt/Condo,Downtown West,Vancouver,1,1,592
207,729000,1304-909 Mainland Street,Apt/Condo,Yaletown,Vancouver,1,1,603
208,864900,311-962 W 16th Avenue,Apt/Condo,Cambie,Vancouver,1,2,1070
209,1458800,308-168 E 35th Avenue,Apt/Condo,Main,Vancouver,3,2,1213
210,1095000,2306-777 Richards Street,Apt/Condo,Downtown West,Vancouver,2,2,909
211,8880000,4301-1189 Melville Street,Apt/Condo,Coal Harbour,Vancouver,4,6,5708
212,650000,W308-488 Kingsway Street,Apt/Condo,Mount Pleasant East,Vancouver,2,2,773
213,719900,717-1088 Richards Street,Apt/Condo,Yaletown,Vancouver,2,1,709
214,2250000,2202-8555 Granville Street,Apt/Condo,Southwest Marine,Vancouver,4,4,1830
215,9975000,2001-1835 Morton Avenue,Apt/Condo,West End,Vancouver,2,3,2740
216,10980000,3000-1050 Burrard Street,Apt/Condo,West End,Vancouver,5,8,7136
217,1629000,1604-8570 Rivergrass Drive,Apt/Condo,South Marine,Vancouver,4,3,1673
218,849900,2203-1188 W Pender Street,Apt/Condo,Coal Harbour,Vancouver,1,1,621
219,1150000,408-503 W 16th Avenue,Apt/Condo,Fairview,Vancouver,3,2,1426
220,2998000,5505-1480 Howe Street,Apt/Condo,Yaletown,Vancouver,2,3,1593
221,1148000,2603-188 Keefer Place,Apt/Condo,Downtown West,Vancouver,2,2,1027
222,1688000,1102-1495 Richards Street,Apt/Condo,Yaletown,Vancouver,2,2,1136
223,4900000,4903-1480 Howe Street,Apt/Condo,Yaletown,Vancouver,3,3,2137
224,744800,852-1483 E King Edward Avenue,Apt/Condo,Knight,Vancouver,2,2,910
225,1650000,1903-1835 Morton Avenue,Apt/Condo,West End,Vancouver,2,2,1181
226,549900,301-233 Kingsway,Apt/Condo,Mount Pleasant East,Vancouver,0,1,508
227,828000,2901-602 Citadel Parade,Apt/Condo,Downtown West,Vancouver,2,1,815
228,749000,408-919 Station Street,Apt/Condo,Strathcona,Vancouver,2,1,795
229,899800,309-5058 Joyce Street,Apt/Condo,Collingwood,Vancouver,3,2,978
230,1548800,273 Columbia Street,Apt/Condo,Downtown East,Vancouver,1,2,1587
231,725000,309-988 Richards Street,Apt/Condo,Yaletown,Vancouver,1,1,707
232,4200000,1402-1688 Pullman Porter Street,Apt/Condo,Mount Pleasant East,Vancouver,2,3,1685
233,639900,323-350 E 2nd Avenue,Apt/Condo,Mount Pleasant East,Vancouver,1,1,748
234,469000,104-1445 Marpole Avenue,Apt/Condo,Fairview,Vancouver,1,1,580
235,1449000,2601-969 Richards Street,Apt/Condo,Downtown West,Vancouver,2,2,1255
236,999000,A203-4908 Cambie Street,Apt/Condo,Cambie,Vancouver,2,2,842
237,2399800,201-888 Hamilton Street,Apt/Condo,Downtown West,Vancouver,3,3,2006
238,1082310,202-485 W 63 Avenue,Apt/Condo,Marpole,Vancouver,2,2,839
239,875000,107-3162 Riverwalk Avenue,Apt/Condo,South Marine,Vancouver,2,2,1097
240,488000,105-288 E 14th Avenue,Apt/Condo,Mount Pleasant East,Vancouver,1,1,526
241,715000,356-168 W 1st Avenue,Apt/Condo,False Creek,Vancouver,1,1,625
242,1148000,2603-188 Keefer Place,Apt/Condo,Downtown West,Vancouver,2,2,1027
243,1029900,501-1003 Pacific Street,Apt/Condo,West End,Vancouver,2,2,1065
244,9288000,2501-1775 Quebec Street,Apt/Condo,Mount Pleasant East,Vancouver,3,4,3233
245,1785000,207-444 W 49th Avenue,Apt/Condo,Oakridge,Vancouver,3,2,1358
246,2988000,607-323 Jervis Street,Apt/Condo,Coal Harbour,Vancouver,2,2,1255
247,679900,2501-1199 Seymour Street,Apt/Condo,Downtown West,Vancouver,1,1,600
248,1900000,802-1171 Jervis Street,Apt/Condo,West End,Vancouver,2,2,1320
249,499000,202-233 Abbott Street,Apt/Condo,Downtown West,Vancouver,1,1,545
250,1147000,804-2799 Yew Street,Apt/Condo,Kitsilano,Vancouver,2,2,1143
251,749900,701-821 Cambie Street,Apt/Condo,Downtown West,Vancouver,1,1,759
252,718000,3110-1480 Howe Street,Apt/Condo,Yaletown,Vancouver,0,1,384
253,623000,205-1835 Barclay Street,Apt/Condo,West End,Vancouver,1,1,717
254,699900,906-1788 Columbia Street,Apt/Condo,False Creek,Vancouver,1,1,596
255,929000,210-1680 W 4th Avenue,Apt/Condo,False Creek,Vancouver,2,2,920
256,849000,405-55 E Cordova Street,Apt/Condo,Downtown East,Vancouver,0,1,965
257,5580000,PH 401-2968 Birch Street,Apt/Condo,Fairview,Vancouver,3,3,2325
258,3565000,301-2968 Birch Street,Apt/Condo,Fairview,Vancouver,2,3,1550
259,679900,504-66 W Cordova Street,Apt/Condo,Downtown West,Vancouver,2,2,805
260,6988900,5601-1480 Howe Street,Apt/Condo,Yaletown,Vancouver,3,4,3050
261,698000,101-1330 Jervis Street,Apt/Condo,West End,Vancouver,1,1,606
262,3487500,201-2968 Birch Street,Apt/Condo,Fairview,Vancouver,2,3,1550
263,919000,404-3720 W 8th Avenue,Apt/Condo,Point Grey,Vancouver,2,2,1017
264,1478888,506-181 W 1st Avenue,Apt/Condo,False Creek,Vancouver,2,2,1121
265,3500000,5006-777 Richards Street,Apt/Condo,Downtown West,Vancouver,2,3,1553
266,889900,208-3636 W 39th Avenue,Apt/Condo,Southlands,Vancouver,1,1,738
267,479000,103-950 Drake Street,Apt/Condo,Downtown West,Vancouver,1,1,486
268,3366000,101-2968 Birch Street,Apt/Condo,Fairview,Vancouver,2,3,1496
269,673000,808-1199 Seymour Street,Apt/Condo,Downtown West,Vancouver,1,1,631
270,948000,402-1072 Hamilton Street,Apt/Condo,Yaletown,Vancouver,2,2,789
271,5388900,5203-1480 Howe Street,Apt/Condo,Yaletown,Vancouver,3,3,2393
272,1899000,3403-1189 Melville Street,Apt/Condo,Coal Harbour,Vancouver,3,3,1697
273,6288000,2201-1328 Marinaside Crescent,Apt/Condo,Yaletown,Vancouver,3,4,3071
274,1409000,3105-1211 Melville Street,Apt/Condo,Coal Harbour,Vancouver,2,2,1070
275,788000,309-53 W Hastings Street,Apt/Condo,Downtown West,Vancouver,1,1,969
276,1199000,2803-1189 Howe Street,Apt/Condo,Downtown West,Vancouver,3,2,1184
277,679000,10-1425 Lamey's Mill Road,Apt/Condo,False Creek,Vancouver,2,2,1340
